ano,mes,classe_orcamentaria,subclasse,equipamento,centro_custo,valor
2025,Mar,Pessoal,Uniformes e EPI,GERAL,CC-421,22299.16
2025,Abr,Pessoal,Uniformes e EPI,GERAL,CC-421,14247.92
2025,Mai,Pessoal,Uniformes e EPI,GERAL,CC-421,19876.91
2025,Jun,Pessoal,Uniformes e EPI,GERAL,CC-421,16353.6
2025,Jul,Pessoal,Uniformes e EPI,GERAL,CC-421,16276.88
2025,Ago,Pessoal,Uniformes e EPI,GERAL,CC-421,20401.5
2025,Set,Pessoal,Uniformes e EPI,GERAL,CC-421,18609.9
2025,Out,Pessoal,Uniformes e EPI,GERAL,CC-421,17614.2
2025,Nov,Pessoal,Uniformes e EPI,GERAL,CC-421,17614.2
2025,Dez,Pessoal,Uniformes e EPI,GERAL,CC-421,17614.2
2025,Jan,Operacional,Aluguel de Equipamentos,GERAL,CC-422,34591.13
2025,Fev,Operacional,Aluguel de Equipamentos,GERAL,CC-422,33446.13
2025,Mar,Operacional,Aluguel de Equipamentos,GERAL,CC-422,36379.63
2025,Abr,Operacional,Aluguel de Equipamentos,GERAL,CC-422,33446.13
2025,Mai,Operacional,Aluguel de Equipamentos,GERAL,CC-422,33446.13
2025,Jun,Operacional,Aluguel de Equipamentos,GERAL,CC-422,32450.39
2025,Jul,Operacional,Aluguel de Equipamentos,GERAL,CC-422,24970.81
2025,Ago,Operacional,Aluguel de Equipamentos,GERAL,CC-422,16604.62
2025,Set,Operacional,Aluguel de Equipamentos,GERAL,CC-422,20375.2
2025,Out,Operacional,Aluguel de Equipamentos,GERAL,CC-422,29523.35
2025,Nov,Operacional,Aluguel de Equipamentos,GERAL,CC-422,29523.35
2025,Dez,Operacional,Aluguel de Equipamentos,GERAL,CC-422,29523.35
2025,Jan,Operacional,Combustíveis,GERAL,CC-422,16674.8
2025,Fev,Operacional,Combustíveis,GERAL,CC-422,36863.54
2025,Mar,Operacional,Combustíveis,GERAL,CC-422,38452.49
2025,Abr,Operacional,Combustíveis,GERAL,CC-422,96236.88
2025,Mai,Operacional,Combustíveis,GERAL,CC-422,36950.63
2025,Jun,Operacional,Combustíveis,GERAL,CC-422,23540.89
2025,Jul,Operacional,Combustíveis,GERAL,CC-422,67633.53
2025,Ago,Operacional,Combustíveis,GERAL,CC-422,119946.03
2025,Set,Operacional,Combustíveis,GERAL,CC-422,87673.33
2025,Out,Operacional,Combustíveis,GERAL,CC-422,58219.12
2025,Nov,Operacional,Combustíveis,GERAL,CC-422,58219.12
2025,Dez,Operacional,Combustíveis,GERAL,CC-422,58219.12
2025,Jan,Operacional,Manutenção de Equipamentos,GERAL,CC-422,216566.88
2025,Fev,Operacional,Manutenção de Equipamentos,GERAL,CC-422,174764.81
2025,Mar,Operacional,Manutenção de Equipamentos,GERAL,CC-422,231221.21
2025,Abr,Operacional,Manutenção de Equipamentos,GERAL,CC-422,394685.32
2025,Mai,Operacional,Manutenção de Equipamentos,GERAL,CC-422,279046.04
2025,Jun,Operacional,Manutenção de Equipamentos,GERAL,CC-422,205513.53
2025,Jul,Operacional,Manutenção de Equipamentos,GERAL,CC-422,286684.98
2025,Ago,Operacional,Manutenção de Equipamentos,GERAL,CC-422,367752.29
2025,Set,Operacional,Manutenção de Equipamentos,GERAL,CC-422,201155.15
2025,Out,Operacional,Manutenção de Equipamentos,GERAL,CC-422,261932.25
2025,Nov,Operacional,Manutenção de Equipamentos,GERAL,CC-422,261932.25
2025,Dez,Operacional,Manutenção de Equipamentos,GERAL,CC-422,261932.25
2025,Jan,Operacional,Manutenção de Edificações,GERAL,CC-422,8294.33
2025,Fev,Operacional,Manutenção de Edificações,GERAL,CC-422,4226.33
2025,Mar,Operacional,Manutenção de Edificações,GERAL,CC-422,12751.01
2025,Abr,Operacional,Manutenção de Edificações,GERAL,CC-422,9710.7
2025,Mai,Operacional,Manutenção de Edificações,GERAL,CC-422,5599.9
2025,Jun,Operacional,Manutenção de Edificações,GERAL,CC-422,8102.25
2025,Jul,Operacional,Manutenção de Edificações,GERAL,CC-422,12543.73
2025,Ago,Operacional,Manutenção de Edificações,GERAL,CC-422,8345.16
2025,Set,Operacional,Manutenção de Edificações,GERAL,CC-422,13203.97
2025,Out,Operacional,Manutenção de Edificações,GERAL,CC-422,9197.49
2025,Nov,Operacional,Manutenção de Edificações,GERAL,CC-422,9197.49
2025,Dez,Operacional,Manutenção de Edificações,GERAL,CC-422,9197.49
2025,Jan,Operacional,Serviços Gerais,GERAL,CC-422,46152.71
2025,Fev,Operacional,Serviços Gerais,GERAL,CC-422,50424.21
2025,Mar,Operacional,Serviços Gerais,GERAL,CC-422,47575.07
2025,Abr,Operacional,Serviços Gerais,GERAL,CC-422,52257.13
2025,Mai,Operacional,Serviços Gerais,GERAL,CC-422,47445.43
2025,Jun,Operacional,Serviços Gerais,GERAL,CC-422,55745.43
2025,Jul,Operacional,Serviços Gerais,GERAL,CC-422,39595.27
2025,Ago,Operacional,Serviços Gerais,GERAL,CC-422,36935.82
2025,Set,Operacional,Serviços Gerais,GERAL,CC-422,28924.95
2025,Out,Operacional,Serviços Gerais,GERAL,CC-422,45006.22
2025,Nov,Operacional,Serviços Gerais,GERAL,CC-422,45006.22
2025,Dez,Operacional,Serviços Gerais,GERAL,CC-422,45006.22
2025,Jan,Operacional,Pneus,GERAL,CC-422,93672.26
2025,Fev,Operacional,Pneus,GERAL,CC-422,43989.38
2025,Mar,Operacional,Pneus,GERAL,CC-422,18955.02
2025,Abr,Operacional,Pneus,GERAL,CC-422,125750.69
2025,Mai,Operacional,Pneus,GERAL,CC-422,166339.24
