data,equipamento,produto,quantidade,valorUnitario,valorTotal,fornecedor
2025-05-22 00:00:00,BM-01,"CORREIA TRANSPORTADORA 46",42,530.7523809523809,22291.6,"MASTERBELT COMERCIO VAREJISTA DE CORREIAS LTDA-ME"
2025-04-17 00:00:00,TP-02,"SERVICOS DE RECAPAGEM E REFORM",6,3697,22182,"RECAPAGEM ALTEROSA LTDA"
2025-04-17 00:00:00,PC-01,"SERVICOS DE RECAPAGEM E REFORM",1,21650,21650,"RECAPAGEM ALTEROSA LTDA"
2025-10-17 00:00:00,PC-01,"PNEU 26.5R25",1,21650,21650,"RECAPAGEM ALTEROSA LTDA"
2025-06-05 00:00:00,BM-01,"CORREIA TRANSPORTADORA  EA 48",31,689.1556534516129,21363.825257,"BRAIANN.ARAGAO"
2025-08-04 00:00:00,BM-03,"KIT DISCO PAT2040002011 - FR 3",1,20747.74,20747.74,"PATEC ELETRICA E AUTOMACAO INDUSTRIAL LTDA"
2025-10-29 00:00:00,MN-01,"DISCO CAT 6Y7916.000",36,568.6572222222222,20471.66,"SOTREQ S/A"
2025-04-03 00:00:00,PC-09,"VALVULA CAT 2443114.000",7,2902.5128571428572,20317.59,"SOTREQ S/A"
2025-03-31 00:00:00,BM-03,"VALVULA SANDVIK SA10-16-7101",1,19966,19966,"LUIZ.SANTOS"
2025-03-18 00:00:00,PC-09,"SERVICOS DE MANUTENCAO EM MAQU",1,19023.84,19023.84,"SOTREQ S/A"
2025-03-20 00:00:00,TC-01,"CORREIA TRANSPORTADORA 39",44,417.9377272727272,18389.26,"LUIZ.SANTOS"
2025-04-24 00:00:00,PC-08,"SERVICOS DE MANUTENCAO EM MAQU",15,1150.6399999999999,17259.6,"PRO SOLDA SERVICOS E LOCACOES LTDA"
2025-04-07 00:00:00,PC-09,"JOYSTICK CAT 4588673",1,16917.83,16917.83,"LUIZ.SANTOS"
2025-05-19 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,16860.8,16860.8,"SOTREQ S/A"
2025-02-25 00:00:00,BM-02,"PAINEL",1,16755.39,16755.39,"SOTREQ S/A"
2025-03-18 00:00:00,TE-03,"CORREIA TRANSPORTADORA 30X 2",63,264.16249999999997,16642.2375,"LUIZ.SANTOS"
2025-07-04 00:00:00,PC-01,"SERVICOS DE MANUTENCAO EM MAQU",1,15892.83,15892.83,"SOTREQ S/A"
2025-09-04 00:00:00,CB-20,"BANCO A9589101804",1,15798.92,15798.92,"MARDISA VEICULOS SA"
2025-10-01 00:00:00,CB-02,"FREIO MERCEDES A00043054950080",1,15734.4,15734.4,"MARDISA VEICULOS S/A"
2025-08-01 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,15016.07,15016.07,"SOTREQ S/A"
2025-08-20 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,15016.07,15016.07,"SOTREQ S/A"
2025-08-25 00:00:00,TE-06,"SERVICOS DE MANUTENCAO EM MAQU",1,15016.07,15016.07,"SOTREQ S/A"
2025-06-03 00:00:00,BM-01,"SERVICOS DE MANUTENCAO EM MAQU",2,7500,15000,"STECKELBERG METALURGICA LTDA."
2025-01-20 00:00:00,PTA-001,"LOCACAO DE MAQUINAS E EQUIPAME",1,15000,15000,"THIAGO TEIXEIRA VINHAL - SERVICOS"
2025-02-20 00:00:00,PTA-001,"LOCACAO DE MAQUINAS E EQUIPAME",1,15000,15000,"THIAGO TEIXEIRA VINHAL - SERVICOS"
